City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Riyadh,SA,24.6877,46.7219,73.54,19,95,1.45,overcast clouds
155,Vanderhoof,CA,54.0166,-124.0198,45.99,58,100,3.24,overcast clouds
156,Avarua,CK,-21.2078,-159.775,78.85,73,100,9.22,overcast clouds
157,Dukstas,LT,55.5333,26.3333,39.97,94,10,5.64,clear sky
158,Port Lincoln,AU,-34.7333,135.8667,62.42,71,39,18.66,scattered clouds
159,Nuevo Progreso,MX,23.1667,-97.95,79.59,81,89,1.01,overcast clouds
160,Komsomolets,KZ,53.7453,62.0708,40.51,86,100,4.94,overcast clouds
161,Sironj,IN,24.1,77.7,80.8,72,24,3.71,few clouds
162,Yerbogachen,RU,61.2767,108.0108,39.07,55,96,3.58,overcast clouds
163,Vila Velha,BR,-20.3297,-40.2925,75.15,83,75,8.05,broken clouds
164,Guerrero Negro,MX,27.9769,-114.0611,72.37,78,0,12.57,clear sky
165,Ponta Delgada,PT,37.7333,-25.6667,72.32,88,40,9.22,scattered clouds
166,Bulungu,CD,-4.55,18.6,69.66,94,28,1.86,scattered clouds
167,Porto Novo,BJ,6.4965,2.6036,78.62,92,79,3.33,light rain
168,Upernavik,GL,72.7868,-56.1549,31.8,94,100,7.76,overcast clouds
169,Kenai,US,60.5544,-151.2583,42.03,79,90,10.36,overcast clouds
170,Am Timan,TD,11.0297,20.2827,73.51,84,96,5.28,overcast clouds
171,Keti Bandar,PK,24.1447,67.4497,82.92,79,8,13.87,clear sky
172,Tilichiki,RU,60.4667,166.1,34.92,96,100,4.76,overcast clouds
173,Bonthe,SL,7.5264,-12.505,76.86,89,99,8.08,moderate rain
174,Saint-Augustin,CA,51.226,-58.6502,43.47,92,100,25.52,overcast clouds
175,Tianpeng,CN,30.9866,103.9393,77.47,80,100,2.17,overcast clouds
176,Felipe Carrillo Puerto,MX,19.5833,-88.05,74.55,94,10,2.89,clear sky
177,Gamba,GA,-2.65,10.0,74.62,88,99,2.75,overcast clouds
178,Lavrentiya,RU,65.5833,-171.0,28.65,73,33,13.42,scattered clouds
179,Bonavista,CA,48.6499,-53.1147,56.12,99,98,14.99,light rain
180,Constitucion,CL,-35.3333,-72.4167,51.42,91,100,5.44,overcast clouds
