City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
519,Kudahuvadhoo,MV,82.6,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
520,Guanica,PR,80.91,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
525,Sur,OM,86.77,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
531,Liku,ID,82.98,overcast clouds,-0.7275,119.8922,Wahyu
533,Naze,JP,83.32,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
535,Ipixuna,BR,76.95,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
536,Tual,ID,81.54,moderate rain,-5.6667,132.75,Grand Vilia Hotel
537,Maragogi,BR,75.13,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
539,Ciamis,ID,84.13,overcast clouds,-7.3257,108.3534,The Priangan Boutique Hotel @ Yos Sudarso
543,Kingaroy,AU,79.05,scattered clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
546,Yago,MX,77.47,overcast clouds,21.8333,-105.0667,
548,Cabo San Lucas,MX,84.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
549,Pizarro,CO,76.96,moderate rain,4.9533,-77.366,Hotel Limonar
552,Mangrol,IN,81.23,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
555,Sonepur,IN,82.92,overcast clouds,20.8333,83.9167,Hotel Progress INN
557,Tiznit,MA,77.9,clear sky,29.5833,-9.5,
558,Nizwa,OM,82.27,overcast clouds,22.9333,57.5333,Orient Apartments
564,Razole,IN,84.49,few clouds,16.4833,81.8333,Sterling Palavelli Godavari
565,Poso,ID,84.96,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
572,Kilinochchi,LK,79.65,overcast clouds,9.3961,80.3982,Solaivanam Guest House
574,Boyolangu,ID,84.38,overcast clouds,-8.1181,111.8935,Yos ega cv
576,Bodden Town,KY,82.92,few clouds,19.2833,-81.25,Will T Place
579,Safaga,EG,78.03,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
590,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
595,Berbera,SO,89.11,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
